Team1,Team2,Stadium,HostCountry,Team1_Venue,Team2_Venue,Team1_Innings,Team2_Innings,MonthOfMatch,MatchWinner
5,4,37,4,Home,Away,Second,First,Dec,4
1,14,84,7,Neutral,Neutral,First,Second,Sep,1
9,15,47,9,Home,Away,First,Second,Feb,9
7,2,102,6,Home,Away,First,Second,Aug,2
6,8,46,5,Home,Away,First,Second,Aug,6
5,13,3,4,Home,Away,Second,First,Nov,5
9,12,149,9,Home,Away,First,Second,Feb,9
13,10,38,13,Home,Away,First,Second,May,13
9,13,35,9,Home,Away,Second,First,Jan,9
4,5,21,3,Home,Away,Second,First,Aug,5
14,1,11,15,Home,Away,Second,First,Jun,14
4,10,130,14,Neutral,Neutral,First,Second,Dec,4
9,10,103,9,Home,Away,First,Second,Feb,10
5,10,75,4,Home,Away,First,Second,Apr,10
10,12,86,10,Home,Away,Second,First,Oct,12
14,9,58,15,Home,Away,Second,First,Jun,14
10,13,1,14,Neutral,Neutral,First,Second,May,10
13,9,36,13,Home,Away,Second,First,Dec,13
4,5,142,3,Home,Away,First,Second,Jun,4
4,1,93,3,Home,Away,Second,First,Jun,4
15,6,64,16,Home,Away,Second,First,Sep,15
10,13,48,12,Neutral,Neutral,Second,First,Dec,10
9,10,38,13,Neutral,Neutral,Second,First,May,9
9,1,8,9,Home,Away,First,Second,Feb,9
15,13,64,16,Home,Away,First,Second,Nov,13
1,10,138,0,Home,Away,First,Second,Jan,1
15,9,64,16,Home,Away,First,Second,Oct,9
14,5,11,15,Home,Away,Second,First,May,14
1,4,138,0,Home,Away,Second,First,Feb,4
5,4,70,4,Home,Away,Second,First,Dec,5
10,14,20,0,Neutral,Neutral,First,Second,Jan,14
10,14,43,1,Neutral,Neutral,Second,First,Mar,10
9,10,35,9,Home,Away,Second,First,Jan,9
1,9,95,0,Home,Away,Second,First,Jan,1
10,12,99,10,Home,Away,First,Second,Oct,12
5,10,144,2,Neutral,Neutral,Second,First,Sep,5
10,2,123,10,Home,Away,Second,First,Sep,10
10,9,51,10,Home,Away,First,Second,Dec,10
10,14,65,0,Neutral,Neutral,Second,First,Dec,14
10,1,86,10,Home,Away,First,Second,Nov,1
14,15,80,15,Home,Away,First,Second,Apr,14
2,5,53,1,Home,Away,First,Second,Feb,5
10,13,86,10,Home,Away,Second,First,Oct,10
1,14,138,0,Home,Away,First,Second,Jan,1
1,5,130,14,Neutral,Neutral,First,Second,Apr,5
6,4,12,5,Home,Away,Second,First,Jun,4
1,15,138,0,Home,Away,First,Second,Jan,1
12,14,17,12,Home,Away,First,Second,Feb,14
10,13,86,10,Home,Away,Second,First,Feb,13
12,9,17,12,Home,Away,Second,First,Oct,12
9,2,47,9,Home,Away,Second,First,Feb,9
1,14,138,0,Home,Away,Second,First,Nov,1
10,5,76,10,Home,Away,Second,First,Jan,10
4,10,37,4,Neutral,Neutral,Second,First,Oct,4
1,5,35,9,Neutral,Neutral,First,Second,Mar,1
10,9,112,10,Home,Away,Second,First,Nov,10
7,10,16,3,Neutral,Neutral,First,Second,Sep,10
12,15,116,12,Home,Away,First,Second,Sep,12
5,14,130,14,Neutral,Neutral,First,Second,Oct,5
13,14,36,13,Home,Away,Second,First,Nov,13
13,10,36,13,Home,Away,First,Second,Mar,10
3,7,129,8,Neutral,Neutral,Second,First,Jul,3
13,10,36,13,Home,Away,Second,First,Aug,10
1,15,91,3,Neutral,Neutral,First,Second,Jun,1
0,6,45,14,Neutral,Neutral,First,Second,Jan,0
13,5,36,13,Home,Away,First,Second,Aug,13
1,14,69,4,Neutral,Neutral,First,Second,Mar,14
13,14,102,6,Neutral,Neutral,First,Second,Oct,13
5,4,100,4,Home,Away,Second,First,Nov,4
12,2,17,12,Home,Away,Second,First,Feb,12
13,14,111,0,Neutral,Neutral,First,Second,Jan,13
9,10,73,12,Neutral,Neutral,Second,First,Oct,9
15,0,64,16,Home,Away,Second,First,Feb,15
1,4,95,0,Home,Away,Second,First,Jan,1
4,1,88,3,Home,Away,Second,First,Jul,4
